Saturday,3,April,2021,15:49:11:00009-VCID:64C71997F45BB6A697-4B18,VCDS Version: Release 20.4.2,Data version: 20200730 DS317.0,,,,,,
045 906 019 BP,,1.4l R3 EDC 0000SG  8395,,,,,,,,,,
,,,,,,,,,,,,
,Group A:,'011,,,,Group B:, Not Running,,,,Group C:, Not Running
,,Engine Speed,Vehicle speed,,,,,,,,,
,TIME,(G28),,,,TIME,,,,,TIME,
Marker,STAMP, /min,,,,STAMP,,,,,STAMP,
,0.00,882,120.000000,,,,,,,,,
,0.31,882,119.409974,,,,,,,,,
,0.62,882,118.823905,,,,,,,,,
,0.93,882,118.241748,,,,,,,,,
,1.24,882,117.663459,,,,,,,,,
,1.55,882,117.088994,,,,,,,,,
,1.86,882,116.518310,,,,,,,,,
,2.17,882,115.951364,,,,,,,,,
,2.48,882,115.388114,,,,,,,,,
,2.79,882,114.828520,,,,,,,,,
,3.10,882,114.272539,,,,,,,,,
,3.41,882,113.720133,,,,,,,,,
,3.72,882,113.171262,,,,,,,,,
,4.03,882,112.625887,,,,,,,,,
,4.34,882,112.083970,,,,,,,,,
,4.65,882,111.545472,,,,,,,,,
,4.96,882,111.010356,,,,,,,,,
,5.27,882,110.478587,,,,,,,,,
,5.58,882,109.950127,,,,,,,,,
,5.89,882,109.424940,,,,,,,,,
,6.20,882,108.902993,,,,,,,,,
,6.51,882,108.384249,,,,,,,,,
,6.82,882,107.868674,,,,,,,,,
,7.13,882,107.356236,,,,,,,,,
,7.44,882,106.846900,,,,,,,,,
,7.75,882,106.340634,,,,,,,,,
,8.06,882,105.837406,,,,,,,,,
,8.37,882,105.337183,,,,,,,,,
,8.68,882,104.839934,,,,,,,,,
,8.99,882,104.345628,,,,,,,,,
,9.30,882,103.854234,,,,,,,,,
,9.61,882,103.365722,,,,,,,,,
,9.92,882,102.880062,,,,,,,,,
,10.23,882,102.397226,,,,,,,,,
,10.54,882,101.917183,,,,,,,,,
,10.85,882,101.439905,,,,,,,,,
,11.16,882,100.965364,,,,,,,,,
,11.47,882,100.493533,,,,,,,,,
,11.78,882,100.024383,,,,,,,,,
,12.09,882,99.557887,,,,,,,,,
,12.40,882,99.094019,,,,,,,,,
,12.71,882,98.632752,,,,,,,,,
,13.02,882,98.174060,,,,,,,,,
,13.33,882,97.717917,,,,,,,,,
,13.64,882,97.264298,,,,,,,,,
,13.95,882,96.813179,,,,,,,,,
,14.26,882,96.364533,,,,,,,,,
,14.57,882,95.918336,,,,,,,,,
,14.88,882,95.474565,,,,,,,,,
,15.19,882,95.033196,,,,,,,,,
,15.50,882,94.594204,,,,,,,,,
,15.81,882,94.157568,,,,,,,,,
,16.12,882,93.723263,,,,,,,,,
,16.43,882,93.291268,,,,,,,,,
,16.74,882,92.861559,,,,,,,,,
,17.05,882,92.434115,,,,,,,,,
,17.36,882,92.008914,,,,,,,,,
,17.67,882,91.585934,,,,,,,,,
,17.98,882,91.165155,,,,,,,,,
,18.29,882,90.746554,,,,,,,,,
,18.60,882,90.330112,,,,,,,,,
,18.91,882,89.915807,,,,,,,,,
,19.22,882,89.503621,,,,,,,,,
,19.53,882,89.093531,,,,,,,,,
